"id_veicolo" "id_percorso" "id_palina" "aria.x" "moby.x" "meb.x" "banda.x" "pedana.x" "linea.x" "statotraffico.x" "tempo_attesa.y" "distanza_fermate.y" "a_capolinea.y" "tempo_attesa_secondi.y" "statotraffico.y" "traveltime" "ora" "giorno" "giornosettimana" "direction" "weather" "prevision_w"
"1114" "3134" "51834" "73587" 0 0 0 "0" 0 "N13" "4" 12 16 1 725 "4" 595 "1" "17" "3" 0 "0" "0"
"1120" "3138" "881R" "70162" 0 0 0 "0" 0 "881" "3" 8 4 0 454 "3" 781 "20" "16" "2" 1 "0" "0"
"1125" "3138" "881R" "70162" 0 0 0 "1" 0 "881" "4" 9 4 1 524 "3" 2073 "17" "16" "2" 1 "0" "0"
"1127" "3138" "881R" "70162" 0 0 0 "0" 0 "881" "4" 25 4 1 1523 "2" 747 "19" "16" "2" 1 "0" "0"
"1134" "3138" "881R" "70162" 0 0 0 "1" 0 "881" "4" 7 4 1 404 "3" 649 "16" "16" "2" 1 "0" "0"
"1139" "3138" "881R" "70985" 0 0 0 "1" 0 "881" "4" 7 7 0 419 "4" 457 "16" "16" "2" 1 "0" "0"
"1143" "3138" "881R" "70985" 0 0 0 "1" 0 "881" "4" 14 9 1 843 "3" 2317 "17" "16" "2" 1 "0" "0"
"1152" "3138" "881R" "70985" 0 0 0 "0" 0 "881" "4" 14 9 1 820 "3" 1792 "20" "16" "2" 1 "0" "0"
"1174" "3138" "881R" "70988" 0 0 0 "0" 0 "881" "3" 12 11 0 746 "3" 875 "20" "16" "2" 0 "0" "0"
"1161" "3138" "881R" "70988" 0 0 0 "0" 0 "881" "4" 10 10 0 575 "4" 591 "16" "16" "2" 0 "0" "0"
"1169" "3138" "881R" "70988" 0 0 0 "0" 0 "881" "4" 17 12 0 1000 "3" 831 "19" "16" "2" 0 "0" "0"
"1185" "3141" "55244" "70162" 0 0 0 "0" 0 "916" "4" 9 6 0 569 "3" 512 "19" "16" "2" 1 "0" "0"
